iter	Passed	Remaining
0	10	10314
1	37	18665
2	48	16036
3	72	18165
4	83	16559
5	101	16846
6	117	16686
7	128	15964
8	141	15570
9	156	15460
10	164	14823
11	174	14363
12	191	14528
13	208	14669
14	228	15033
15	246	15144
16	256	14831
17	270	14735
18	277	14332
19	284	13961
20	294	13734
21	313	13947
22	321	13667
23	331	13464
24	341	13331
25	348	13044
26	364	13137
27	378	13153
28	394	13222
29	412	13324
30	436	13656
31	463	14023
32	467	13705
33	481	13694
34	487	13431
35	494	13234
36	510	13289
37	530	13436
38	543	13389
39	555	13329
40	565	13232
41	580	13235
42	593	13209
43	608	13218
44	618	13118
45	626	12997
46	636	12901
47	648	12852
48	665	12911
49	677	12876
50	693	12904
51	698	12740
52	704	12584
53	707	12402
54	713	12262
55	718	12119
56	725	12008
57	732	11903
58	740	11808
59	747	11709
60	753	11596
61	759	11493
62	771	11471
63	783	11455
64	789	11352
65	796	11271
66	803	11185
67	811	11115
68	816	11023
69	823	10939
70	831	10881
71	838	10809
72	843	10711
73	849	10631
74	857	10580
75	865	10522
76	870	10437
77	876	10362
78	882	10292
79	888	10217
80	896	10167
81	901	10094
82	908	10034
83	916	9993
84	923	9946
85	931	9895
86	938	9846
87	944	9787
88	951	9738
89	959	9696
90	965	9640
91	971	9587
92	976	9520
93	980	9454
94	986	9396
95	992	9343
96	997	9285
97	1001	9221
98	1007	9172
99	1012	9114
100	1018	9062
101	1023	9008
102	1030	8973
103	1033	8906
104	1039	8860
105	1045	8818
106	1052	8783
107	1057	8737
108	1062	8684
109	1067	8635
110	1072	8588
111	1078	8552
112	1085	8521
113	1092	8490
114	1097	8447
115	1104	8413
116	1110	8380
117	1114	8329
118	1118	8282
119	1123	8236
120	1126	8185
121	1132	8153
122	1138	8121
123	1143	8077
124	1149	8046
125	1156	8019
126	1162	7990
127	1168	7963
128	1175	7940
129	1181	7909
130	1187	7877
131	1192	7842
132	1199	7816
133	1204	7786
134	1211	7760
135	1217	7734
136	1223	7705
137	1230	7688
138	1236	7658
139	1242	7632
140	1249	7610
141	1256	7594
142	1262	7568
143	1268	7543
144	1273	7511
145	1278	7475
146	1281	7435
147	1285	7402
148	1292	7379
149	1298	7356
150	1304	7336
151	1311	7314
152	1318	7299
153	1325	7280
154	1331	7257
155	1337	7238
156	1344	7219
157	1349	7190
158	1356	7174
159	1361	7146
160	1368	7131
161	1373	7106
162	1377	7074
163	1381	7044
164	1384	7008
165	1389	6982
166	1393	6951
167	1396	6917
168	1401	6892
169	1405	6864
170	1409	6833
171	1413	6804
172	1419	6787
173	1422	6753
174	1428	6734
175	1434	6717
176	1441	6700
177	1446	6681
178	1451	6656
179	1456	6633
180	1459	6602
181	1463	6577
182	1469	6558
183	1473	6535
184	1475	6499
185	1479	6473
186	1485	6457
187	1488	6428
188	1491	6399
189	1495	6373
190	1501	6358
191	1506	6337
192	1509	6311
193	1515	6296
194	1522	6284
195	1528	6267
196	1532	6248
197	1538	6230
198	1544	6214
199	1546	6187
200	1554	6177
201	1559	6161
202	1565	6146
203	1569	6126
204	1575	6108
205	1582	6097
206	1586	6079
207	1591	6059
208	1598	6048
209	1602	6026
210	1605	6005
211	1613	5996
212	1617	5975
213	1621	5957
214	1630	5954
215	1635	5935
216	1642	5926
217	1649	5915
218	1654	5901
219	1660	5886
220	1665	5871
221	1673	5863
222	1678	5848
223	1685	5838
224	1692	5828
225	1698	5816
226	1706	5811
227	1713	5803
228	1719	5787
229	1725	5778
230	1732	5768
231	1740	5761
232	1746	5749
233	1750	5729
234	1756	5719
235	1761	5703
236	1768	5692
237	1774	5681
238	1780	5668
239	1785	5654
240	1791	5641
241	1797	5630
242	1805	5623
243	1811	5613
244	1816	5597
245	1823	5588
246	1830	5581
247	1835	5565
248	1843	5559
249	1851	5553
250	1858	5545
251	1864	5534
252	1870	5523
253	1877	5515
254	1885	5508
255	1889	5492
256	1896	5483
257	1900	5465
258	1904	5449
259	1912	5442
260	1919	5435
261	1925	5424
262	1931	5411
263	1938	5405
264	1943	5390
265	1949	5379
266	1954	5366
267	1958	5349
268	1965	5342
269	1970	5328
270	1975	5312
271	1981	5303
272	1986	5288
273	1993	5281
274	1999	5271
275	2004	5256
276	2011	5249
277	2015	5235
278	2021	5223
279	2025	5209
280	2033	5201
281	2039	5191
282	2045	5182
283	2048	5165
284	2055	5155
285	2062	5148
286	2067	5137
287	2073	5127
288	2078	5113
289	2082	5099
290	2089	5091
291	2096	5082
292	2101	5070
293	2108	5062
294	2113	5051
295	2120	5044
296	2126	5033
297	2132	5024
298	2138	5013
299	2143	5001
300	2149	4991
301	2156	4983
302	2162	4975
303	2168	4964
304	2175	4956
305	2181	4947
306	2188	4940
307	2196	4934
308	2200	4920
309	2205	4908
310	2211	4898
311	2217	4889
312	2222	4878
313	2228	4867
314	2234	4858
315	2240	4850
316	2246	4841
317	2253	4833
318	2261	4826
319	2267	4818
320	2274	4811
321	2281	4803
322	2287	4794
323	2291	4780
324	2297	4772
325	2303	4762
326	2309	4754
327	2318	4749
328	2324	4739
329	2329	4729
330	2335	4719
331	2339	4707
332	2348	4703
333	2352	4690
334	2359	4683
335	2365	4674
336	2370	4663
337	2377	4655
338	2383	4647
339	2389	4639
340	2396	4631
341	2400	4619
342	2405	4608
343	2412	4599
344	2416	4588
345	2421	4576
346	2426	4565
347	2432	4557
348	2436	4545
349	2441	4535
350	2446	4524
351	2452	4514
352	2458	4506
353	2462	4493
354	2467	4482
355	2473	4474
356	2478	4464
357	2485	4457
358	2491	4448
359	2496	4438
360	2501	4428
361	2509	4423
362	2516	4415
363	2522	4406
364	2527	4397
365	2534	4389
366	2538	4379
367	2546	4372
368	2552	4364
369	2557	4354
370	2564	4347
371	2570	4339
372	2576	4330
373	2583	4324
374	2589	4315
375	2595	4307
376	2602	4300
377	2607	4291
378	2612	4281
379	2619	4273
380	2625	4265
381	2632	4258
382	2638	4249
383	2644	4242
384	2652	4237
385	2659	4231
386	2665	4222
387	2672	4215
388	2679	4208
389	2684	4199
390	2690	4191
391	2697	4184
392	2704	4176
393	2711	4171
394	2718	4164
395	2726	4157
396	2731	4149
397	2738	4142
398	2745	4135
399	2751	4127
400	2758	4120
401	2766	4115
402	2772	4107
403	2782	4104
404	2789	4097
405	2795	4090
406	2800	4080
407	2806	4072
408	2815	4067
409	2821	4060
410	2823	4046
411	2829	4037
412	2836	4032
413	2844	4025
414	2849	4016
415	2854	4007
416	2859	3998
417	2865	3989
418	2873	3983
419	2875	3971
420	2882	3964
421	2889	3957
422	2895	3949
423	2900	3940
424	2907	3933
425	2911	3922
426	2918	3915
427	2924	3908
428	2932	3902
429	2937	3893
430	2942	3884
431	2950	3879
432	2957	3872
433	2961	3862
434	2969	3856
435	2973	3846
436	2978	3836
437	2985	3830
438	2990	3821
439	2996	3814
440	3002	3805
441	3007	3797
442	3015	3791
443	3022	3784
444	3028	3776
445	3034	3768
446	3041	3762
447	3047	3755
448	3054	3748
449	3060	3740
450	3065	3731
451	3071	3723
452	3078	3717
453	3085	3711
454	3093	3705
455	3100	3698
456	3106	3691
457	3115	3686
458	3122	3680
459	3130	3675
460	3137	3668
461	3143	3660
462	3150	3654
463	3158	3648
464	3163	3639
465	3169	3632
466	3177	3626
467	3183	3619
468	3190	3612
469	3196	3604
470	3202	3596
471	3208	3588
472	3214	3581
473	3219	3572
474	3223	3563
475	3229	3554
476	3235	3547
477	3240	3538
478	3245	3530
479	3251	3522
480	3258	3516
481	3264	3507
482	3270	3500
483	3276	3493
484	3283	3486
485	3289	3478
486	3294	3470
487	3301	3463
488	3305	3454
489	3310	3445
490	3316	3438
491	3323	3431
492	3328	3422
493	3334	3415
494	3341	3409
495	3346	3400
496	3354	3394
497	3358	3385
498	3364	3377
499	3370	3370
500	3376	3363
501	3382	3355
502	3388	3348
503	3395	3341
504	3402	3335
505	3409	3328
506	3416	3322
507	3421	3313
508	3427	3305
509	3433	3299
510	3438	3290
511	3443	3281
512	3449	3274
513	3456	3267
514	3464	3262
515	3470	3255
516	3476	3247
517	3483	3241
518	3491	3235
519	3496	3227
520	3502	3219
521	3509	3213
522	3515	3206
523	3522	3199
524	3529	3193
525	3533	3184
526	3541	3178
527	3547	3171
528	3553	3163
529	3560	3157
530	3567	3150
531	3573	3143
532	3581	3137
533	3587	3130
534	3593	3123
535	3601	3117
536	3609	3111
537	3615	3105
538	3620	3096
539	3626	3089
540	3634	3083
541	3640	3076
542	3647	3069
543	3653	3062
544	3659	3054
545	3667	3049
546	3670	3040
547	3677	3033
548	3682	3025
549	3688	3017
550	3694	3010
551	3697	3000
552	3703	2993
553	3710	2986
554	3716	2979
555	3722	2972
556	3728	2965
557	3733	2957
558	3740	2950
559	3745	2943
560	3752	2936
561	3759	2930
562	3765	2922
563	3772	2916
564	3778	2909
565	3782	2900
566	3786	2891
567	3793	2884
568	3799	2877
569	3804	2870
570	3811	2863
571	3817	2856
572	3820	2847
573	3827	2840
574	3832	2832
575	3838	2825
576	3842	2816
577	3849	2810
578	3855	2803
579	3861	2796
580	3866	2788
581	3872	2781
582	3879	2774
583	3884	2767
584	3892	2761
585	3898	2753
586	3903	2746
587	3910	2739
588	3916	2732
589	3923	2726
590	3928	2718
591	3931	2709
592	3936	2701
593	3943	2695
594	3949	2688
595	3956	2681
596	3960	2673
597	3966	2666
598	3974	2660
599	3979	2652
600	3986	2646
601	3992	2639
602	3999	2632
603	4005	2625
604	4011	2619
605	4019	2613
606	4025	2606
607	4032	2599
608	4037	2592
609	4043	2585
610	4050	2578
611	4056	2571
612	4060	2563
613	4067	2557
614	4072	2549
615	4078	2542
616	4084	2535
617	4089	2528
618	4093	2519
619	4098	2512
620	4104	2505
621	4110	2498
622	4117	2491
623	4123	2484
624	4130	2478
625	4137	2472
626	4144	2465
627	4151	2459
628	4158	2452
629	4166	2446
630	4172	2439
631	4178	2433
632	4184	2426
633	4192	2420
634	4198	2413
635	4206	2407
636	4211	2399
637	4218	2393
638	4224	2386
639	4232	2380
640	4239	2374
641	4245	2367
642	4250	2360
643	4258	2354
644	4267	2348
645	4273	2341
646	4280	2335
647	4287	2328
648	4293	2321
649	4299	2315
650	4305	2308
651	4312	2301
652	4318	2295
653	4326	2288
654	4331	2281
655	4339	2275
656	4346	2269
657	4352	2262
658	4359	2255
659	4365	2248
660	4373	2242
661	4378	2235
662	4384	2228
663	4392	2222
664	4400	2216
665	4405	2209
666	4411	2202
667	4417	2195
668	4423	2188
669	4429	2181
670	4436	2175
671	4442	2168
672	4449	2161
673	4454	2154
674	4461	2148
675	4468	2141
676	4474	2134
677	4481	2128
678	4485	2120
679	4492	2114
680	4497	2106
681	4504	2100
682	4509	2092
683	4516	2086
684	4522	2079
685	4526	2072
686	4533	2065
687	4538	2058
688	4545	2051
689	4552	2045
690	4558	2038
691	4564	2031
692	4568	2023
693	4574	2016
694	4580	2010
695	4585	2002
696	4591	1996
697	4597	1989
698	4603	1982
699	4609	1975
700	4614	1968
701	4618	1960
702	4624	1953
703	4630	1946
704	4636	1940
705	4641	1933
706	4647	1926
707	4652	1918
708	4658	1912
709	4665	1905
710	4671	1898
711	4678	1892
712	4684	1885
713	4692	1879
714	4696	1872
715	4703	1865
716	4709	1858
717	4717	1852
718	4723	1846
719	4730	1839
720	4737	1833
721	4745	1827
722	4751	1820
723	4758	1813
724	4763	1807
725	4772	1801
726	4778	1794
727	4784	1787
728	4792	1781
729	4797	1774
730	4804	1768
731	4811	1761
732	4818	1755
733	4823	1748
734	4831	1741
735	4837	1735
736	4843	1728
737	4849	1721
738	4855	1715
739	4862	1708
740	4868	1701
741	4875	1695
742	4882	1688
743	4889	1682
744	4895	1675
745	4902	1669
746	4908	1662
747	4915	1656
748	4921	1649
749	4928	1642
750	4936	1636
751	4941	1629
752	4945	1622
753	4950	1615
754	4956	1608
755	4963	1601
756	4968	1594
757	4974	1588
758	4981	1581
759	4987	1574
760	4994	1568
761	5001	1562
762	5008	1555
763	5015	1549
764	5021	1542
765	5027	1535
766	5034	1529
767	5039	1522
768	5045	1515
769	5050	1508
770	5055	1501
771	5061	1494
772	5067	1488
773	5074	1481
774	5079	1474
775	5084	1467
776	5089	1460
777	5094	1453
778	5101	1447
779	5107	1440
780	5113	1433
781	5121	1427
782	5127	1421
783	5134	1414
784	5141	1408
785	5147	1401
786	5154	1394
787	5160	1388
788	5167	1381
789	5173	1375
790	5178	1368
791	5185	1361
792	5192	1355
793	5198	1348
794	5203	1341
795	5209	1335
796	5215	1328
797	5219	1321
798	5225	1314
799	5231	1307
800	5235	1300
801	5240	1293
802	5247	1287
803	5252	1280
804	5256	1273
805	5262	1266
806	5268	1259
807	5271	1252
808	5276	1245
809	5280	1238
810	5284	1231
811	5289	1224
812	5295	1218
813	5302	1211
814	5307	1204
815	5313	1198
816	5317	1191
817	5323	1184
818	5327	1177
819	5331	1170
820	5336	1163
821	5342	1156
822	5348	1150
823	5353	1143
824	5360	1137
825	5367	1130
826	5373	1124
827	5380	1117
828	5386	1111
829	5392	1104
830	5398	1097
831	5404	1091
832	5410	1084
833	5416	1078
834	5422	1071
835	5428	1065
836	5436	1058
837	5442	1052
838	5448	1045
839	5453	1038
840	5460	1032
841	5467	1025
842	5473	1019
843	5480	1012
844	5486	1006
845	5494	1000
846	5501	993
847	5507	987
848	5514	980
849	5521	974
850	5527	967
851	5533	961
852	5540	954
853	5544	947
854	5550	941
855	5555	934
856	5560	927
857	5567	921
858	5572	914
859	5578	908
860	5584	901
861	5590	894
862	5595	888
863	5600	881
864	5607	875
865	5613	868
866	5619	861
867	5624	855
868	5630	848
869	5636	842
870	5644	835
871	5650	829
872	5656	822
873	5664	816
874	5668	809
875	5676	803
876	5682	797
877	5689	790
878	5695	783
879	5702	777
880	5707	770
881	5714	764
882	5720	758
883	5726	751
884	5732	744
885	5739	738
886	5745	732
887	5752	725
888	5758	719
889	5764	712
890	5770	705
891	5777	699
892	5784	693
893	5790	686
894	5797	680
895	5804	673
896	5810	667
897	5817	660
898	5823	654
899	5829	647
900	5835	641
901	5842	634
902	5848	628
903	5854	621
904	5860	615
905	5865	608
906	5872	602
907	5878	595
908	5884	589
909	5890	582
910	5896	576
911	5903	569
912	5909	563
913	5914	556
914	5920	549
915	5926	543
916	5932	536
917	5938	530
918	5945	524
919	5953	517
920	5960	511
921	5966	504
922	5973	498
923	5979	491
924	5986	485
925	5994	479
926	6000	472
927	6006	466
928	6013	459
929	6019	453
930	6025	446
931	6032	440
932	6039	433
933	6046	427
934	6053	420
935	6059	414
936	6066	407
937	6072	401
938	6078	394
939	6085	388
940	6091	381
941	6097	375
942	6103	368
943	6109	362
944	6116	355
945	6122	349
946	6128	342
947	6134	336
948	6141	330
949	6149	323
950	6155	317
951	6162	310
952	6167	304
953	6173	297
954	6179	291
955	6185	284
956	6191	278
957	6197	271
958	6203	265
959	6209	258
960	6215	252
961	6221	245
962	6228	239
963	6233	232
964	6239	226
965	6245	219
966	6251	213
967	6257	206
968	6263	200
969	6269	193
970	6274	187
971	6280	180
972	6287	174
973	6292	167
974	6298	161
975	6304	155
976	6309	148
977	6315	142
978	6321	135
979	6327	129
980	6333	122
981	6339	116
982	6345	109
983	6351	103
984	6357	96
985	6363	90
986	6369	83
987	6375	77
988	6381	70
989	6387	64
990	6393	58
991	6400	51
992	6405	45
993	6411	38
994	6417	32
995	6422	25
996	6430	19
997	6438	12
998	6444	6
999	6451	0
	12300	459
964	12313	446
965	12324	433
966	12328	420
967	12340	407
968	12353	395
969	12366	382
970	12374	369
971	12394	357
972	12411	344
973	12422	331
974	12438	318
975	12459	306
976	12465	293
977	12472	280
978	12477	267
979	12498	255
984	12546	191
985	12555	178
986	12563	165
987	12576	152
988	12582	139
989	12589	127
990	12598	114
991	12607	101
992	12617	88
993	12632	76
994	12642	63
995	12649	50
996	12670	38
997	12684	25
998	12697	12
999	12705	0

996	12652	38
997	12667	25
998	12684	12
999	12702	0
5	0
