iter	RMSE
0	1798641
1	1795648.16
2	1793571.193
3	1791410.15
4	1789373.013
5	1786176.114
6	1783584.899
7	1781891.476
8	1778401.761
9	1777019.688
10	1775293.941
11	1773320.359
12	1772388.22
13	1770853.657
14	1768961.958
15	1767190.708
16	1765616.07
17	1764523.844
18	1762807.346
19	1761724.482
20	1760334.547
21	1759572.776
22	1758493.864
23	1757715.254
24	1756991.134
25	1755855.016
26	1754716.709
27	1753775.989
28	1752658.731
29	1751731.088
30	1750568.917
31	1749191.826
32	1747834.141
33	1746439.216
34	1745255.13
35	1744228.892
36	1743286.176
37	1742088.655
38	1740421.491
39	1739365.082
40	1738354.586
41	1736919.249
42	1735949.603
43	1735105.352
44	1734176.819
45	1733023.738
46	1731987.97
47	1731224.895
48	1730229.384
49	1729128.261
50	1728654.392
51	1728055.195
52	1727766.311
53	1726083.262
54	1724626.911
55	1723815.441
56	1722313.511
57	1721355.964
58	1720657.743
59	1719686.105
60	1718887.238
61	1718367.615
62	1717460.234
63	1716460.679
64	1715834.558
65	1714784.706
66	1713527.307
67	1713289.598
68	1712648.822
69	1711566.008
70	1710670.728
71	1709565.539
72	1708233.408
73	1706931.246
74	1705521.278
75	1705002.03
76	1704362.471
77	1703361.042
78	1702496.832
79	1701687.415
80	1701269.602
81	1700584.949
82	1700240.67
83	1699489.146
84	1698793.962
85	1697682.453
86	1697027.773
87	1695882.595
88	1694961.404
89	1693836.101
90	1693096.152
91	1692347.145
92	1691167.874
93	1690342.19
94	1689668.713
95	1689082.909
96	1688578.641
97	1687444.816
98	1686826.209
99	1686143.883
100	1685385.816
101	1684734.314
102	1684155.616
103	1683186.517
104	1682383.408
105	1681577.087
106	1680651.545
107	1680127.589
108	1679625.383
109	1678596.937
110	1678313.254
111	1677658.666
112	1677120.005
113	1676188.155
114	1675575.479
115	1674724.81
116	1673865.651
117	1673158.941
118	1672486.561
119	1671612.744
120	1670984.438
121	1669999.759
122	1669343.366
123	1668739.494
124	1668107.421
125	1667478.582
126	1666804.099
127	1666340.51
128	1665656.926
129	1665041.24
130	1664389.983
131	1663495.843
132	1662538.465
133	1661702.782
134	1661009.31
135	1660265.838
136	1659649.144
137	1659126.47
138	1658266.42
139	1657435.567
140	1656280.522
141	1655422.052
142	1654924.45
143	1654236.352
144	1653845.968
145	1653079.126
146	1652375.269
147	1651359.319
148	1650735.446
149	1650231.671
150	1649253.354
151	1648519.965
152	1647916.619
153	1646956.691
154	1646425.251
155	1646038.787
156	1645534.485
157	1645073.261
158	1644277.351
159	1643396.038
160	1642271.995
161	1641417.829
162	1640672.283
163	1640178.048
164	1639167.031
165	1638121.165
166	1637080.158
167	1636713.486
168	1636068.893
169	1635273.39
170	1634236.583
171	1633137.373
172	1631990
173	1631169.959
174	1630469.783
175	1629832.125
176	1628147.924
177	1627206.499
178	1626466.226
179	1625813.215
180	1625103.841
181	1624432.499
182	1623778.059
183	1623336.146
184	1622759.041
185	1621778.11
186	1621223.053
187	1620358.274
188	1619380.1
189	1618693.34
190	1618197.681
191	1617463.71
192	1616359.038
193	1615800.502
194	1614673.665
195	1613420.524
196	1612667.12
197	1611928.223
198	1611044.552
199	1609668.674
200	1609015.794
201	1608423.17
202	1607643.496
203	1607202.706
204	1606485.182
205	1605913.309
206	1605376.976
207	1604655.728
208	1603869.925
209	1603334.17
210	1602700.247
211	1602147.765
212	1600991.334
213	1600349.761
214	1600046.563
215	1598872.855
216	1597782.466
217	1596682.466
218	1596193.546
219	1595587.673
220	1595083.835
221	1594397.199
222	1593875.002
223	1593337.468
224	1592959.16
225	1592189.426
226	1591647.286
227	1590933.374
228	1590060.714
229	1589556.663
230	1588917.459
231	1587643.385
232	1586949.852
233	1586322.812
234	1585494.584
235	1585003.281
236	1584265.569
237	1583588.196
238	1582902.998
239	1582362.021
240	1581642.06
241	1580992.645
242	1580428.878
243	1579828.22
244	1579158.968
245	1578292.637
246	1577502.615
247	1576779.038
248	1576010.878
249	1575090.779
250	1574500.441
251	1574028.436
252	1573672.779
253	1573257.699
254	1572659.094
255	1571775.779
256	1571175.599
257	1570496.596
258	1569744.896
259	1569226.667
260	1568718.894
261	1567847.1
262	1567227.411
263	1566363.057
264	1565497.876
265	1564942.192
266	1564321.186
267	1563701.747
268	1562934.338
269	1562017.056
270	1561024.378
271	1560403.764
272	1559921.304
273	1559252.633
