iter	Passed	Remaining
0	7	7370
1	13	6844
2	24	7996
3	38	9480
4	43	8672
5	47	7931
6	52	7480
7	58	7238
8	62	6908
9	68	6766
10	73	6599
11	78	6467
12	83	6323
13	88	6249
14	93	6132
15	101	6251
16	106	6136
17	110	6043
18	114	5903
19	118	5825
20	123	5737
21	126	5635
22	140	5951
23	143	5841
24	152	5950
25	161	6033
26	166	5993
27	168	5856
28	171	5726
29	174	5639
30	177	5555
31	181	5482
32	184	5419
33	187	5327
34	189	5227
35	192	5159
36	195	5094
37	198	5018
38	201	4956
39	204	4918
40	209	4895
41	211	4835
42	214	4769
43	216	4706
44	218	4645
45	221	4603
46	224	4548
47	227	4510
48	230	4476
49	233	4434
50	235	4388
51	237	4337
52	240	4299
53	242	4251
54	245	4220
55	248	4196
56	252	4171
57	255	4156
58	260	4152
59	262	4114
60	264	4075
61	267	4042
62	271	4030
63	274	4017
64	277	3995
65	280	3967
66	282	3940
67	285	3914
68	290	3926
69	293	3905
70	297	3897
71	301	3881
72	305	3881
73	310	3884
74	313	3860
75	315	3839
76	319	3825
77	322	3816
78	325	3794
79	327	3769
80	330	3746
81	333	3729
82	337	3724
83	339	3706
84	342	3683
85	345	3671
86	349	3667
87	354	3668
88	356	3647
89	358	3627
90	360	3605
91	364	3593
92	367	3582
93	370	3566
94	372	3552
95	375	3535
96	377	3513
97	379	3496
98	383	3489
99	386	3481
100	389	3469
101	391	3449
102	393	3429
103	395	3411
104	399	3403
105	401	3387
106	404	3372
107	406	3360
108	409	3347
109	412	3338
110	415	3324
111	416	3305
112	419	3292
113	422	3280
114	424	3263
115	426	3251
116	429	3239
117	431	3222
118	433	3206
119	434	3189
120	437	3174
121	439	3165
122	442	3154
123	445	3143
124	448	3136
125	450	3127
126	453	3116
127	455	3100
128	457	3089
129	460	3081
130	463	3071
131	465	3058
132	468	3051
133	470	3038
134	472	3027
135	474	3014
136	477	3009
137	479	2996
138	481	2983
139	483	2969
140	486	2963
141	488	2952
142	490	2941
143	493	2933
144	496	2929
145	498	2917
146	501	2908
147	503	2898
148	505	2889
149	508	2880
150	511	2877
151	514	2871
152	518	2872
153	521	2866
154	525	2866
155	528	2860
156	531	2852
157	533	2845
158	536	2838
159	539	2831
160	542	2825
161	545	2822
162	547	2810
163	549	2801
164	552	2794
165	554	2785
166	558	2783
167	560	2776
168	563	2769
169	565	2759
170	567	2749
171	568	2738
172	572	2738
173	575	2732
174	579	2731
175	581	2722
176	584	2715
177	586	2710
178	590	2706
179	591	2696
180	594	2688
181	596	2679
182	599	2675
183	601	2666
184	604	2664
185	607	2657
186	609	2651
187	611	2641
188	613	2632
189	615	2624
190	618	2620
191	621	2613
192	623	2607
193	626	2603
194	629	2598
195	632	2592
196	635	2591
197	638	2584
198	640	2577
199	642	2570
200	645	2567
201	648	2561
202	651	2557
203	654	2552
204	656	2546
205	658	2539
206	660	2530
207	662	2522
208	666	2521
209	669	2518
210	671	2512
211	674	2508
212	677	2502
213	680	2499
214	684	2498
215	686	2493
216	689	2486
217	691	2482
218	695	2480
219	698	2476
220	701	2473
221	705	2471
222	709	2470
223	712	2469
224	715	2463
225	717	2458
226	721	2456
227	724	2452
228	726	2446
229	729	2441
230	732	2437
231	735	2434
232	738	2432
233	741	2428
234	744	2422
235	747	2419
236	749	2414
237	754	2416
238	758	2414
239	761	2410
240	764	2407
241	767	2403
242	769	2397
243	771	2391
244	774	2386
245	777	2383
246	780	2380
247	784	2377
248	787	2375
249	790	2371
250	794	2371
251	797	2367
252	801	2366
253	803	2361
254	808	2362
255	812	2360
256	814	2354
257	817	2350
258	820	2347
259	825	2350
260	828	2345
261	831	2341
262	834	2339
263	836	2332
264	840	2330
265	843	2326
266	845	2320
267	847	2314
268	850	2311
269	853	2306
270	857	2305
271	860	2302
272	864	2301
273	867	2298
274	870	2296
275	873	2291
276	877	2289
277	879	2284
278	883	2282
279	887	2281
280	890	2277
281	892	2272
282	894	2267
283	897	2262
284	900	2259
285	905	2259
286	908	2256
287	910	2251
288	913	2247
289	916	2243
290	920	2242
291	922	2237
292	924	2231
293	926	2225
294	929	2221
295	932	2216
296	935	2215
297	937	2209
298	939	2203
299	941	2197
300	944	2193
301	948	2193
302	951	2189
303	953	2183
304	956	2179
305	959	2175
306	961	2169
307	963	2163
308	966	2161
309	969	2157
310	971	2151
311	973	2146
312	976	2144
313	979	2140
314	982	2136
315	985	2132
316	987	2127
317	989	2123
318	991	2117
319	994	2113
320	997	2109
321	999	2103
322	1000	2098
323	1004	2095
324	1006	2091
325	1010	2089
326	1013	2086
327	1016	2081
328	1018	2076
329	1020	2072
330	1023	2068
331	1026	2065
332	1029	2061
333	1032	2058
334	1034	2054
335	1036	2048
336	1038	2042
337	1039	2036
338	1042	2033
339	1045	2028
340	1046	2023
341	1049	2019
342	1053	2017
343	1055	2012
344	1057	2007
345	1060	2004
346	1063	2000
347	1065	1996
348	1067	1991
349	1070	1987
350	1073	1984
351	1076	1980
352	1078	1976
353	1080	1972
354	1083	1968
355	1085	1964
356	1088	1960
357	1092	1958
358	1094	1954
359	1097	1951
360	1099	1947
361	1102	1942
362	1104	1938
363	1107	1935
364	1110	1931
365	1112	1926
366	1115	1924
367	1118	1921
368	1121	1917
369	1123	1913
370	1126	1909
371	1129	1906
372	1131	1902
373	1133	1897
374	1135	1893
375	1139	1890
376	1142	1887
377	1146	1886
378	1149	1883
379	1153	1881
380	1157	1880
381	1160	1878
382	1163	1873
383	1165	1870
384	1168	1866
385	1173	1866
386	1176	1863
387	1178	1859
388	1181	1855
389	1184	1853
390	1188	1851
391	1193	1850
392	1196	1847
393	1198	1842
394	1200	1838
395	1202	1834
396	1206	1832
397	1210	1831
398	1214	1829
399	1217	1826
400	1221	1824
401	1223	1820
402	1226	1817
403	1228	1812
404	1231	1809
405	1234	1806
406	1236	1801
407	1238	1797
408	1242	1795
409	1244	1791
410	1247	1788
411	1250	1784
412	1252	1780
413	1254	1776
414	1256	1771
415	1259	1767
416	1262	1764
417	1265	1762
418	1268	1759
419	1270	1754
420	1272	1749
421	1274	1745
422	1276	1740
423	1278	1737
424	1282	1734
425	1284	1730
426	1286	1726
427	1289	1722
428	1292	1719
429	1294	1715
430	1297	1712
431	1300	1710
432	1303	1706
433	1305	1702
434	1308	1699
435	1310	1695
436	1313	1692
437	1316	1689
438	1320	1688
439	1325	1687
440	1328	1684
441	1332	1682
442	1336	1679
443	1340	1679
444	1345	1677
